employee_email,first_name,last_name,hire_date,birthdate,address,city,country,employee_role
adrian.lane@biomedix.com,Adrian,Lane,2025-01-22,1956-11-23,4508 Cedarwood Lane,Barcelona,Spain,staff
isaiah.mckinney@biomedix.com,Isaiah,Mckinney,2025-01-22,1990-09-03,9369 Hawthorn St,Houston,USA,staff
kennedy.chen@biomedix.com,Kennedy,Chen,2025-01-22,1968-02-16,7779 Oakwood Dr,Zurich,Switzerland,staff
carter.snyder@biomedix.com,Carter,Snyder,2025-01-22,1976-08-22,9829 Peony St,Paris,France,assistant
audrey.price@biomedix.com,Audrey,Price,2025-01-22,1980-04-17,9674 Willow Lane,Geneva,Switzerland,staff
genesis.thomas@biomedix.com,Genesis,Thomas,2025-01-22,1964-03-23,7999 Maple Terrace Ave,Naples,Italy,director
wyatt.robertson@biomedix.com,Wyatt,Robertson,2025-01-22,1963-12-06,8865 Willow Ridge Rd,Toronto,Canada,director
ellie.jimenez@biomedix.com,Ellie,Jimenez,2025-01-22,1961-09-01,6191 Sunset Blvd,Hamburg,Germany,manager
audrey.park@biomedix.com,Audrey,Park,2025-01-22,1969-10-31,3888 Cedar Glen Ave,Naples,Italy,director
morgan.russell@biomedix.com,Morgan,Russell,2025-01-22,1979-05-06,6377 Cedar Park Rd,Rome,Italy,staff
dominic.reilly@biomedix.com,Dominic,Reilly,2025-01-22,1951-03-11,6053 Oak Grove St,New York,USA,assistant
colton.ford@biomedix.com,Colton,Ford,2025-01-22,1981-12-20,9609 Magnolia Ave,Chicago,USA,director
nora.gutierrez@biomedix.com,Nora,Gutierrez,2025-01-22,1970-11-13,6230 Highland Park Ave,Barcelona,Spain,staff
mateo.nelson@biomedix.com,Mateo,Nelson,2025-01-22,1962-12-30,3829 Rose St,Lyon,France,staff
genesis.giles@biomedix.com,Genesis,Giles,2025-01-22,1950-08-11,5152 Clementine St,Tokyo,Japan,director
alice.baker@biomedix.com,Alice,Baker,2025-01-22,1966-10-31,4171 Summit Ave,Los Angeles,USA,staff
john.fisher@biomedix.com,John,Fisher,2025-01-22,1954-04-26,4544 Poppy Ave,Nagoya,Japan,director
stella.estrada@biomedix.com,Stella,Estrada,2025-01-22,1974-02-16,9723 Wisteria Ave,Naples,Italy,director
natalie.hunter@biomedix.com,Natalie,Hunter,2025-01-22,1984-09-12,1225 Park Ave,Chicago,USA,director
isaiah.murphy@biomedix.com,Isaiah,Murphy,2025-01-22,1955-02-16,8738 Canyon View Rd,Manchester,UK,assistant
reagan.rose@biomedix.com,Reagan,Rose,2025-01-22,1999-12-08,3816 Tulip St,Miami,USA,staff
william.padilla@biomedix.com,William,Padilla,2025-01-22,1964-12-25,1463 Golden Gate St,Tokyo,Japan,staff
ella.johnston@biomedix.com,Ella,Johnston,2025-01-22,1983-03-08,6716 Highland Park Ave,Nagoya,Japan,staff
quinn.miles@biomedix.com,Quinn,Miles,2025-01-22,1977-03-20,2129 Broadway,Milan,Italy,staff
ezra.robertson@biomedix.com,Ezra,Robertson,2025-01-22,2000-04-17,4163 Pine Hill Rd,Amsterdam,Netherlands,manager
elliana.greene@biomedix.com,Elliana,Greene,2025-01-22,1977-11-16,6958 Violet Rd,Toronto,Canada,manager
leah.phillips@biomedix.com,Leah,Phillips,2025-01-22,1989-09-28,5068 Summit Ridge Ave,Paris,France,staff
mateo.henderson@biomedix.com,Mateo,Henderson,2025-01-22,1997-05-30,7044 Pine Grove Rd,Paris,France,director
violet.campos@biomedix.com,Violet,Campos,2025-01-22,1984-09-10,6006 Mulberry Ave,Toronto,Canada,staff
claire.myers@biomedix.com,Claire,Myers,2025-01-22,1972-09-30,3860 Larch Rd,Naples,Italy,assistant
ryan.bradley@biomedix.com,Ryan,Bradley,2025-01-22,1979-12-14,2068 Poppy Ave,Toronto,Canada,director
gabriella.gonzalez@biomedix.com,Gabriella,Gonzalez,2025-01-22,1957-11-03,9594 Briar Rose Ave,Naples,Italy,staff
adrian.burnett@biomedix.com,Adrian,Burnett,2025-01-22,1998-03-16,8581 Granite St,Munich,Germany,staff
sofia.ellis@biomedix.com,Sofia,Ellis,2025-01-22,1999-07-08,8010 Birch St,Paris,France,staff
ruby.hart@biomedix.com,Ruby,Hart,2025-01-22,1958-03-02,2029 Kings Ave,Nagoya,Japan,manager
brandon.davis@biomedix.com,Brandon,Davis,2025-01-22,1972-04-22,1100 Silver St,London,UK,manager
