order_number,user_email,order_date,order_status,employee_email,payment_method,delivery_method,address,city,country,shipper_name
ORD-65233,pslbzwy@outlook.com,2016-08-22 09:31:02,canceled,anthony.ferguson@biomedix.com,PayPal,Express Delivery,2523 Juniper Ridge Rd,Tokyo,Japan,MediTrans Express
ORD-19845,jtcofas@mail.com,2017-01-14 13:47:19,delivered,william.padilla@biomedix.com,PayPal,In-store Pickup,6729 Pinecrest Rd,Manchester,UK,PharmaShip Solutions
ORD-67340,ebmxxzb@yahoo.com,2017-05-23 03:07:38,shipped,reagan.rose@biomedix.com,PayPal,In-store Pickup,2914 Basil Ave,Manchester,UK,GLS
ORD-89805,doccrhk@mail.com,2016-01-05 07:56:36,pending,colton.duncan@biomedix.com,Credit Card,Express Delivery,6658 Mint St,Munich,Germany,DPD
ORD-61460,jeawyry@gmail.com,2018-02-02 15:48:03,canceled,mateo.henderson@biomedix.com,Bank Transfer,Standard Shipping,1326 Willowbrook Ave,Zurich,Switzerland,HealthFleet Transport
ORD-57807,tuuuymq@yahoo.com,2022-04-26 01:43:53,shipped,mateo.nelson@biomedix.com,Bank Transfer,Express Delivery,3816 Tulip St,Miami,USA,LifeLine Couriers
ORD-78343,wjxqwng@yahoo.com,2023-05-13 16:01:12,pending,eleanor.rice@biomedix.com,Bank Transfer,Express Delivery,8636 Pine Hill St,Geneva,Switzerland,HealthLink Couriers
ORD-28216,wqznjiw@mail.com,2024-05-08 20:05:00,delivered,genesis.thomas@biomedix.com,Credit Card,Standard Shipping,6344 Oak Knoll Ave,Milan,Italy,LifeLine Logistics
ORD-59361,kompjot@mail.com,2023-02-01 20:17:26,pending,dominic.reilly@biomedix.com,Cash,Standard Shipping,6714 Valley Rd,Vancouver,Canada,TNT
ORD-87928,zkfpvav@gmail.com,2015-09-11 22:23:37,pending,brayden.mcdonald@biomedix.com,Cash,Standard Shipping,7000 Heatherwood Dr,Zurich,Switzerland,GLS
ORD-85183,aowkxaa@mail.com,2025-01-28 23:29:03,pending,nathan.guzman@biomedix.com,PayPal,Express Delivery,1930 Aspen Grove Rd,Manchester,UK,GLS
ORD-65728,qyubhaa@outlook.com,2021-05-06 21:39:12,shipped,colton.duncan@biomedix.com,PayPal,Standard Shipping,9933 Kings Ave,Miami,USA,MediCare Logistics
ORD-70569,aeruchq@mail.com,2020-06-03 05:55:53,canceled,wyatt.robertson@biomedix.com,Credit Card,Standard Shipping,3881 Sequoia Ridge Rd,Toronto,Canada,MediFleet Express
ORD-91325,fsqoupd@mail.com,2021-03-12 05:49:24,pending,colton.duncan@biomedix.com,PayPal,In-store Pickup,2550 Cedar Meadow Rd,Montreal,Canada,HealthWay Express
ORD-85104,ndohvem@mail.com,2021-03-10 19:06:19,shipped,eleanor.rice@biomedix.com,PayPal,In-store Pickup,7342 Elm Grove Rd,Munich,Germany,HealthLink Couriers
ORD-39108,fsbetql@outlook.com,2025-04-09 07:03:46,canceled,angel.campos@biomedix.com,Credit Card,Standard Shipping,6196 Maplewood St,Munich,Germany,BioTrans Logistics
ORD-47380,wnmymhy@outlook.com,2018-05-03 16:35:04,pending,nora.cooley@biomedix.com,Credit Card,In-store Pickup,8178 Oak Grove St,Zurich,Switzerland,BioTrans Logistics
ORD-30210,fjatyel@outlook.com,2022-10-30 00:25:16,shipped,addison.hayes@biomedix.com,PayPal,In-store Pickup,2914 Basil Ave,Manchester,UK,GLS
ORD-23445,fqtvilb@yahoo.com,2018-06-27 00:50:47,delivered,anthony.ferguson@biomedix.com,Cash,Express Delivery,137 Peony St,Nagoya,Japan,UPS
ORD-46537,gpucsxp@gmail.com,2014-05-26 01:26:04,delivered,nathan.guzman@biomedix.com,Cash,In-store Pickup,5976 Oak Park Ave,Rome,Italy,PharmaWay Logistics
ORD-41084,eiqnuit@outlook.com,2018-11-04 07:08:19,pending,joshua.kelly@biomedix.com,Credit Card,In-store Pickup,4264 Main St,Lyon,France,TNT
ORD-46497,ldafyxq@gmail.com,2017-02-10 17:32:58,pending,colton.duncan@biomedix.com,Cash,Standard Shipping,282 Maple Ridge Ave,New York,USA,HealthFleet Transport
ORD-52271,epdgagp@outlook.com,2016-10-10 09:21:47,canceled,ruby.hart@biomedix.com,PayPal,Express Delivery,2713 Peachtree St,Manchester,UK,GLS
ORD-64559,bhimyci@mail.com,2022-12-12 09:12:40,delivered,natalie.arnold@biomedix.com,Cash,Standard Shipping,96 Lavender St,Paris,France,HealthLink Couriers
ORD-46535,kagnmqv@outlook.com,2013-10-13 14:17:42,pending,elliana.greene@biomedix.com,Credit Card,Express Delivery,810 Clover St,Madrid,Spain,BioQuick Delivery
ORD-96827,zuiygii@outlook.com,2016-07-02 17:05:14,shipped,morgan.russell@biomedix.com,PayPal,Express Delivery,7705 Pleasant St,Houston,USA,BioQuick Delivery
ORD-94491,lftakrv@gmail.com,2019-11-23 19:28:45,delivered,colton.ford@biomedix.com,Bank Transfer,In-store Pickup,6196 Maplewood St,Munich,Germany,HealthWay Express
ORD-35154,ijnelny@mail.com,2022-06-15 04:47:25,delivered,william.hoffman@biomedix.com,PayPal,Express Delivery,71 Park Ave,Zurich,Switzerland,MediFleet Express
ORD-43187,xaboitu@mail.com,2023-04-14 23:35:19,pending,angel.campos@biomedix.com,Bank Transfer,Express Delivery,5528 Chestnut Ave,Amsterdam,Netherlands,HealthFleet Couriers
ORD-96166,kzbqsnx@gmail.com,2022-11-03 07:34:51,canceled,claire.myers@biomedix.com,Cash,Express Delivery,9845 Franklin St,Zurich,Switzerland,VitalFleet Transport
ORD-89072,zgxczgd@mail.com,2021-09-09 03:10:56,canceled,morgan.russell@biomedix.com,Bank Transfer,Express Delivery,6191 Sunset Blvd,Hamburg,Germany,VitalExpress Couriers
ORD-20404,paoqktc@gmail.com,2016-06-18 05:09:37,pending,elliana.greene@biomedix.com,Bank Transfer,Standard Shipping,6256 Cedar Point Rd,Geneva,Switzerland,HealthWay Express
ORD-65029,ssldapa@gmail.com,2018-07-07 19:08:33,delivered,aurora.castillo@biomedix.com,PayPal,Standard Shipping,6256 Cedar Point Rd,Geneva,Switzerland,HealthWay Express
ORD-26526,mgpxjrp@mail.com,2015-08-28 00:31:06,canceled,aurora.warner@biomedix.com,Cash,Express Delivery,6214 Cedar Ridge Rd,Los Angeles,USA,BioFleet Express
ORD-16553,zyiulfg@yahoo.com,2018-07-15 02:09:51,canceled,isaiah.mckinney@biomedix.com,Cash,Express Delivery,4446 Maple Valley Rd,Geneva,Switzerland,MediQuick Logistics
ORD-79864,mgpxjrp@mail.com,2019-02-05 01:41:23,delivered,genesis.giles@biomedix.com,Cash,In-store Pickup,9122 Aspen Grove Rd,Amsterdam,Netherlands,PharmaCare Express
ORD-85835,yfuesyc@mail.com,2012-04-28 20:52:54,pending,mateo.dominguez@biomedix.com,Credit Card,In-store Pickup,4254 Willow Valley St,Milan,Italy,PharmaExpress Delivery
ORD-60444,fyfaeyw@gmail.com,2019-03-15 10:52:51,shipped,ryan.bradley@biomedix.com,Credit Card,Standard Shipping,8943 Aspen Ave,Rotterdam,Netherlands,Vitality Transport
ORD-21251,tuuuymq@yahoo.com,2024-03-04 20:19:42,shipped,ezra.robertson@biomedix.com,Credit Card,In-store Pickup,9762 Cedarwood St,Hamburg,Germany,HealthWay Express
ORD-43473,yjkoxgm@gmail.com,2022-01-27 04:03:00,pending,camila.willis@biomedix.com,Credit Card,In-store Pickup,9832 Prospect St,Naples,Italy,HealthCare Transport
ORD-94776,nygkvdj@mail.com,2018-11-17 06:14:59,canceled,addison.hayes@biomedix.com,PayPal,In-store Pickup,686 Fir Ridge St,Los Angeles,USA,TNT
ORD-86661,cfxlcee@gmail.com,2019-08-12 17:26:06,shipped,jeremiah.rose@biomedix.com,Cash,Standard Shipping,4038 Juniper Ridge Rd,Tokyo,Japan,PharmaExpress Delivery
ORD-81296,ekpbyac@yahoo.com,2019-11-16 17:26:54,canceled,lily.hamilton@biomedix.com,Credit Card,Express Delivery,4365 Cedar Ridge Dr,Berlin,Germany,VitalShip Logistics
ORD-48148,zvzgqut@yahoo.com,2014-06-29 22:32:31,pending,jeremiah.rose@biomedix.com,Cash,In-store Pickup,1304 Orchid Ave,Toronto,Canada,GLS
ORD-21027,pabxzrb@mail.com,2015-12-31 01:02:32,canceled,violet.campos@biomedix.com,Credit Card,In-store Pickup,2322 Summit Ridge Ave,Osaka,Japan,HealthCare Transport
ORD-66078,hmcarwl@outlook.com,2020-05-14 01:03:54,delivered,ezra.fulton@biomedix.com,PayPal,Express Delivery,6510 Olive St,Hamburg,Germany,MediTrans Global
ORD-24216,rtkohkm@gmail.com,2019-08-07 04:09:35,delivered,quinn.miles@biomedix.com,Credit Card,In-store Pickup,6218 Willow Valley St,Geneva,Switzerland,VitalShip Logistics
ORD-82007,uvfupeo@outlook.com,2015-08-11 10:53:23,canceled,ezra.robertson@biomedix.com,Cash,Express Delivery,5292 Sunset Blvd,Munich,Germany,HealthWay Couriers
ORD-25263,bjovpek@gmail.com,2014-04-26 08:17:19,delivered,connor.ortega@biomedix.com,Bank Transfer,Express Delivery,7283 Hickory Ave,Osaka,Japan,Vitality Transport
ORD-92439,ynzkfyc@mail.com,2016-05-24 06:08:48,canceled,natalie.arnold@biomedix.com,Cash,Standard Shipping,3075 Elm Grove Rd,Barcelona,Spain,VitalLink Couriers
ORD-22436,mzwetgm@gmail.com,2017-01-29 16:04:25,shipped,colton.jimenez@biomedix.com,PayPal,Express Delivery,5837 Lincoln St,Tokyo,Japan,BioWay Couriers
ORD-80706,uzhofth@outlook.com,2024-04-02 01:40:36,shipped,audrey.price@biomedix.com,PayPal,In-store Pickup,8926 Pinecrest Rd,Chicago,USA,BioExpress Logistics
ORD-54775,fucihhz@gmail.com,2016-11-06 00:20:23,shipped,parker.wallace@biomedix.com,Cash,Express Delivery,2901 Willowbrook Terrace Rd,Naples,Italy,VitalWay Transport
ORD-33836,nxfelbx@yahoo.com,2022-10-26 22:59:57,canceled,elena.duncan@biomedix.com,PayPal,In-store Pickup,5811 Lincoln St,Berlin,Germany,LifeLine Logistics
ORD-27714,xjkpsus@outlook.com,2024-11-30 04:18:34,pending,elliana.greene@biomedix.com,Cash,Standard Shipping,2153 Forest Glen St,Tokyo,Japan,CareShip International
ORD-96573,obykkwk@yahoo.com,2024-01-20 03:37:41,shipped,eva.aguilar@biomedix.com,Bank Transfer,Standard Shipping,6787 Pine Knoll Rd,Geneva,Switzerland,PharmaExpress Delivery
ORD-89761,urfugdd@outlook.com,2019-06-27 16:01:12,delivered,mila.turner@biomedix.com,PayPal,Express Delivery,4718 Vista Ave,Barcelona,Spain,HealthShip Couriers
ORD-86568,ovjcydw@yahoo.com,2018-05-17 03:59:04,pending,parker.gordon@biomedix.com,Credit Card,In-store Pickup,3816 Tulip St,Miami,USA,VitalLink Couriers
ORD-86956,zotpnui@outlook.com,2022-10-03 03:20:33,delivered,wyatt.robertson@biomedix.com,PayPal,In-store Pickup,9421 Aspen Grove Rd,New York,USA,PharmaLink Transport
ORD-28144,eycnlpc@mail.com,2025-02-08 06:04:53,delivered,gabriella.gonzalez@biomedix.com,PayPal,In-store Pickup,6826 Locust St,Paris,France,DPD
ORD-90687,nlrglim@yahoo.com,2018-02-01 21:06:30,delivered,eleanor.rice@biomedix.com,Cash,In-store Pickup,8764 Cedar Valley Rd,Hamburg,Germany,HealthCare Transport
ORD-99034,xaboitu@mail.com,2018-11-01 13:35:31,delivered,natalie.arnold@biomedix.com,Credit Card,In-store Pickup,6441 Parsley Ave,Rome,Italy,MediTrans Global
ORD-33807,kcgviub@yahoo.com,2025-04-02 00:46:31,pending,brayden.mcdonald@biomedix.com,Cash,In-store Pickup,4670 Lavender St,Manchester,UK,VitalWay Transport
ORD-13397,fzzeiqu@gmail.com,2025-09-19 13:12:37,canceled,hannah.snyder@biomedix.com,PayPal,Express Delivery,8413 Harbor St,Miami,USA,PharmaQuick Delivery
ORD-96064,jfvdxvz@mail.com,2015-10-08 11:36:39,delivered,layla.patterson@biomedix.com,Cash,In-store Pickup,6994 Maple Ridge Blvd,Rome,Italy,CareShip International
ORD-72972,zdksfhe@mail.com,2016-07-11 14:09:48,canceled,hunter.kelley@biomedix.com,Cash,Express Delivery,7814 Willow Grove Ave,Amsterdam,Netherlands,HealthLink Couriers
ORD-92454,mgpxjrp@mail.com,2019-08-03 00:51:57,delivered,mateo.nelson@biomedix.com,Credit Card,Express Delivery,958 Thyme Rd,Nagoya,Japan,HealthShip Couriers
ORD-50515,ocexgem@outlook.com,2014-10-08 14:21:07,shipped,william.hoffman@biomedix.com,PayPal,Express Delivery,8097 Cedar Springs St,Tokyo,Japan,FedEx
ORD-53199,wsexwtp@outlook.com,2017-10-08 10:36:41,canceled,robert.west@biomedix.com,Bank Transfer,In-store Pickup,2029 Kings Ave,Nagoya,Japan,HealthWay Couriers
ORD-50565,ufoaacy@yahoo.com,2020-10-03 23:16:42,pending,isaiah.murphy@biomedix.com,Credit Card,Standard Shipping,6804 Overlook Rd,Nagoya,Japan,MediFleet Express
ORD-80582,nogokwv@mail.com,2017-06-07 18:30:46,shipped,elliana.greene@biomedix.com,Cash,Standard Shipping,1174 Sequoia Ridge Rd,Lyon,France,HealthWay Couriers
ORD-82395,otwupgn@outlook.com,2014-02-15 01:25:14,shipped,dominic.reilly@biomedix.com,Bank Transfer,In-store Pickup,2051 Maple St,Los Angeles,USA,PharmaCare Express
ORD-33824,dgokmzw@gmail.com,2022-12-11 07:18:21,canceled,easton.alvarado@biomedix.com,Cash,Standard Shipping,8178 Oak Grove St,Zurich,Switzerland,VitalShip Logistics
ORD-74478,vvstqkm@gmail.com,2025-10-14 13:35:42,canceled,isaiah.murphy@biomedix.com,Credit Card,Express Delivery,2208 Pine Hill St,Rotterdam,Netherlands,PharmaWay Logistics
ORD-53009,iqhvjfs@mail.com,2024-10-02 02:43:31,canceled,reagan.rose@biomedix.com,PayPal,Express Delivery,8413 Harbor St,Miami,USA,PharmaQuick Delivery
ORD-41107,ybsluud@mail.com,2017-07-03 20:40:24,canceled,daniel.franco@biomedix.com,PayPal,In-store Pickup,6994 Maple Ridge Blvd,Rome,Italy,CareShip International
ORD-42060,hfvyacn@gmail.com,2020-02-11 06:10:21,shipped,mateo.dominguez@biomedix.com,Bank Transfer,In-store Pickup,2573 Cypress Ave,Zurich,Switzerland,PharmaShip Solutions
ORD-68009,decebls@gmail.com,2024-02-18 19:21:53,pending,claire.myers@biomedix.com,PayPal,Standard Shipping,7837 Elmwood St,Zurich,Switzerland,UPS
ORD-50038,brvkrca@yahoo.com,2016-07-24 09:09:15,pending,christian.vasquez@biomedix.com,Bank Transfer,Express Delivery,7283 Hickory Ave,Osaka,Japan,Vitality Transport
ORD-79644,tnpzsud@yahoo.com,2025-04-12 21:27:48,delivered,jeremiah.rose@biomedix.com,Credit Card,Express Delivery,3060 Clementine St,Barcelona,Spain,HealthWay Express
ORD-32963,wizmvjk@outlook.com,2018-10-27 12:52:16,canceled,easton.alvarado@biomedix.com,Bank Transfer,Express Delivery,2600 Hemlock St,Toronto,Canada,VitalFleet Transport
ORD-14698,wzhfraw@mail.com,2014-10-26 10:55:00,delivered,violet.campos@biomedix.com,Cash,In-store Pickup,7342 Elm Grove Rd,Munich,Germany,HealthLink Couriers
ORD-83089,faxaneb@yahoo.com,2015-09-05 05:35:30,canceled,wyatt.robertson@biomedix.com,Bank Transfer,Express Delivery,3413 Cypress Grove Rd,Geneva,Switzerland,MediFleet Logistics
ORD-57131,kagnmqv@outlook.com,2021-12-06 09:23:16,shipped,alice.baker@biomedix.com,Bank Transfer,Standard Shipping,645 Forest Ridge St,Amsterdam,Netherlands,PharmaFleet Express
ORD-11335,aymwods@mail.com,2019-02-28 07:01:14,canceled,leah.phillips@biomedix.com,Cash,Express Delivery,6948 Cedar Ridge Dr,Zurich,Switzerland,MediTrans Express
ORD-93860,vzwabur@yahoo.com,2014-01-30 01:52:44,delivered,thomas.cohen@biomedix.com,Credit Card,Standard Shipping,22 Valley Rd,Manchester,UK,VitalShip Logistics
ORD-10544,ghxlhhu@outlook.com,2017-06-28 13:09:24,delivered,audrey.hicks@biomedix.com,PayPal,In-store Pickup,1745 Peony St,Amsterdam,Netherlands,MediFleet Express
ORD-63962,gniktvv@gmail.com,2024-07-29 04:03:29,delivered,leah.phillips@biomedix.com,Credit Card,Express Delivery,2272 Pine Meadows St,Hamburg,Germany,BioFleet Express
ORD-74437,vikpvvy@yahoo.com,2020-06-30 13:07:23,pending,william.padilla@biomedix.com,PayPal,Standard Shipping,9829 Peony St,Paris,France,UPS
ORD-51118,lhushho@gmail.com,2018-02-19 19:13:51,canceled,daniel.franco@biomedix.com,Cash,Express Delivery,7310 Larch Grove Ave,Munich,Germany,MediCare Logistics
ORD-37434,kxuilhw@gmail.com,2024-09-01 02:31:39,pending,matthew.reynolds@biomedix.com,Bank Transfer,In-store Pickup,6630 Cherry Blossom Dr,Tokyo,Japan,MediFleet Express
ORD-34106,hdnfjft@outlook.com,2020-11-10 16:55:54,canceled,robert.west@biomedix.com,Credit Card,Standard Shipping,1326 Willowbrook Ave,Zurich,Switzerland,HealthFleet Transport
ORD-41222,ljklmzs@mail.com,2020-07-31 15:10:15,pending,sofia.ellis@biomedix.com,PayPal,In-store Pickup,8955 Riverside St,Amsterdam,Netherlands,UPS
ORD-51896,anfpnbc@mail.com,2015-12-08 16:52:19,pending,ella.johnston@biomedix.com,PayPal,In-store Pickup,6630 Cherry Blossom Dr,Tokyo,Japan,DHL Express
ORD-19107,stnlslh@yahoo.com,2020-05-02 19:54:47,canceled,sofia.ellis@biomedix.com,Cash,Express Delivery,3881 Sequoia Ridge Rd,Toronto,Canada,FedEx
ORD-28061,aymwods@mail.com,2021-10-07 12:03:22,shipped,quinn.miles@biomedix.com,Bank Transfer,Express Delivery,5691 Highland Park Ave,Barcelona,Spain,PharmaLink Transport
ORD-31229,lqvzonq@gmail.com,2021-12-07 15:07:44,canceled,morgan.russell@biomedix.com,PayPal,Standard Shipping,4633 Canyon Dr,Toronto,Canada,MediTrans Global
ORD-83564,arpahvn@yahoo.com,2025-06-30 13:24:21,shipped,christian.vasquez@biomedix.com,Cash,In-store Pickup,511 Birchwood Dr,Lyon,France,BioExpress Logistics
ORD-34292,flfvonw@yahoo.com,2016-04-07 22:05:20,pending,nora.gutierrez@biomedix.com,Cash,In-store Pickup,2322 Summit Ridge Ave,Osaka,Japan,HealthCare Transport
ORD-48100,scguvbc@gmail.com,2024-06-12 00:52:27,delivered,robert.wilson@biomedix.com,PayPal,In-store Pickup,3415 Kings Ave,Toronto,Canada,PharmaCare Express
ORD-21331,strcmeg@gmail.com,2015-05-24 02:18:07,canceled,isaiah.mckinney@biomedix.com,Bank Transfer,Express Delivery,2600 Hemlock St,Toronto,Canada,VitalFleet Transport
ORD-98773,ghrgfav@outlook.com,2022-08-28 22:48:24,pending,adrian.lane@biomedix.com,PayPal,Standard Shipping,1659 Hazel Ave,Rotterdam,Netherlands,PharmaCare Express
ORD-73582,nzltuif@mail.com,2025-03-07 05:26:38,delivered,adrian.lane@biomedix.com,Cash,Express Delivery,1765 Willowbrook Terrace Rd,Miami,USA,PharmaCare Express
ORD-97348,emgtfuq@yahoo.com,2016-08-18 08:06:07,canceled,hannah.snyder@biomedix.com,Bank Transfer,Express Delivery,9829 Peony St,Paris,France,HealthWay Couriers
ORD-75600,willzwq@gmail.com,2024-11-02 11:44:18,shipped,daniel.jordan@biomedix.com,Credit Card,Standard Shipping,8738 Canyon View Rd,Manchester,UK,BioCare Logistics
ORD-68591,ltiettg@mail.com,2012-05-15 17:08:23,pending,carter.snyder@biomedix.com,Bank Transfer,In-store Pickup,9068 Woodland Ave,London,UK,HealthShip Couriers
ORD-72861,xomyknj@gmail.com,2020-07-25 14:42:43,canceled,aurora.warner@biomedix.com,PayPal,In-store Pickup,3415 Kings Ave,Toronto,Canada,PharmaCare Express
ORD-96048,zvzgqut@yahoo.com,2014-10-19 13:02:29,shipped,isaiah.mckinney@biomedix.com,PayPal,Express Delivery,672 Willowbrook Rd,Rotterdam,Netherlands,HealthCare Transport
ORD-72179,jxnqrdg@outlook.com,2018-12-14 23:01:50,delivered,aurora.castillo@biomedix.com,PayPal,Express Delivery,8778 Cypress Ave,Osaka,Japan,HealthExpress Couriers
ORD-96391,obuqyfr@outlook.com,2014-01-15 11:58:50,delivered,alex.flores@biomedix.com,Bank Transfer,In-store Pickup,5585 Washington Ave,Berlin,Germany,PharmaShip Solutions
ORD-12750,txgiitf@outlook.com,2014-06-26 22:26:30,delivered,emily.perkins@biomedix.com,PayPal,Express Delivery,810 Clover St,Madrid,Spain,BioQuick Delivery
ORD-54588,gqtrsxo@yahoo.com,2015-02-19 06:55:05,pending,savannah.guerrero@biomedix.com,Cash,Express Delivery,8778 Cypress Ave,Osaka,Japan,HealthExpress Couriers
ORD-28884,zgvhpyn@gmail.com,2022-06-06 11:46:19,shipped,nora.gutierrez@biomedix.com,PayPal,Express Delivery,5068 Summit Ridge Ave,Paris,France,BioTrans Logistics
ORD-15385,fftopna@mail.com,2018-11-29 22:46:08,delivered,isaiah.mckinney@biomedix.com,Bank Transfer,In-store Pickup,8167 Maple Terrace Ave,Zurich,Switzerland,HealthWay Couriers
ORD-14552,iaevysf@yahoo.com,2021-01-02 20:19:38,pending,sofia.ellis@biomedix.com,Credit Card,Express Delivery,5837 Lincoln St,Tokyo,Japan,BioWay Couriers
ORD-59564,crfaynm@yahoo.com,2022-09-17 14:56:33,shipped,grace.gardner@biomedix.com,Bank Transfer,Standard Shipping,9933 Kings Ave,Miami,USA,PharmaWay Logistics
ORD-33885,ooovoql@yahoo.com,2018-06-28 21:36:47,pending,thomas.alvarado@biomedix.com,Cash,In-store Pickup,8764 Cedar Valley Rd,Hamburg,Germany,HealthCare Transport
ORD-86093,jfeagdo@gmail.com,2014-09-28 02:41:04,canceled,quinn.miles@biomedix.com,Bank Transfer,Express Delivery,6948 Cedar Ridge Dr,Zurich,Switzerland,MediTrans Express
ORD-35742,tflwgpw@gmail.com,2019-06-15 15:25:10,pending,natalie.arnold@biomedix.com,Bank Transfer,In-store Pickup,7972 Holly Ave,Paris,France,LifeLine Couriers
ORD-90812,gaxnfjo@mail.com,2012-01-12 05:02:51,delivered,aubrey.rice@biomedix.com,Credit Card,In-store Pickup,4366 Maple Ridge Ave,Manchester,UK,BioFleet Express
ORD-81342,qyubhaa@outlook.com,2015-11-01 10:28:16,pending,carter.snyder@biomedix.com,Cash,Express Delivery,6617 Hillcrest Dr,Hamburg,Germany,VitalCare Transport
ORD-37503,tqitnnf@gmail.com,2022-12-20 16:56:44,canceled,brayden.mcdonald@biomedix.com,Credit Card,Express Delivery,5152 Clementine St,Tokyo,Japan,VitalWay Transport
ORD-29503,dnopcbz@mail.com,2024-06-08 04:20:25,pending,william.hoffman@biomedix.com,Credit Card,Express Delivery,7569 Hilltop Ave,Rotterdam,Netherlands,MediFleet Logistics
ORD-64819,qpezwjy@outlook.com,2022-06-09 19:42:41,shipped,elena.duncan@biomedix.com,Cash,Standard Shipping,9810 Willow Bend Rd,Zurich,Switzerland,MediTrans Global
ORD-57705,mkbmoie@yahoo.com,2018-09-22 08:33:51,shipped,quinn.miles@biomedix.com,Credit Card,In-store Pickup,810 Clover St,Madrid,Spain,HealthShip Couriers
ORD-10147,uzasupl@mail.com,2023-02-02 20:13:13,pending,daniel.jordan@biomedix.com,Cash,In-store Pickup,763 Juniper Ave,Geneva,Switzerland,MediCare Logistics
ORD-48393,qyubhaa@outlook.com,2019-01-21 18:44:05,canceled,mila.turner@biomedix.com,Cash,Standard Shipping,7704 School St,Geneva,Switzerland,HealthFleet Couriers
ORD-90045,cjztytp@gmail.com,2021-02-21 13:24:10,canceled,robert.west@biomedix.com,Bank Transfer,In-store Pickup,2322 Summit Ridge Ave,Osaka,Japan,HealthCare Transport
ORD-23947,fftopna@mail.com,2013-04-01 22:55:46,pending,eva.aguilar@biomedix.com,Cash,In-store Pickup,3415 Kings Ave,Toronto,Canada,PharmaCare Express
ORD-62740,sdlqsnm@mail.com,2023-03-28 11:47:00,shipped,colton.jimenez@biomedix.com,PayPal,In-store Pickup,3023 Birchwood Ave,Paris,France,PharmaExpress Delivery
ORD-19415,mscrijw@outlook.com,2017-07-21 00:13:03,canceled,mateo.nelson@biomedix.com,PayPal,Standard Shipping,1742 Fir Valley Rd,Houston,USA,MediLink Express
ORD-17906,tlklpwd@mail.com,2013-06-12 00:51:13,canceled,ella.johnston@biomedix.com,Bank Transfer,Standard Shipping,679 Elmwood St,Los Angeles,USA,PharmaFleet Express
ORD-31920,gnardcz@mail.com,2019-02-13 04:12:29,pending,angel.campos@biomedix.com,Bank Transfer,Express Delivery,3075 Elm Grove Rd,Barcelona,Spain,PharmaCare Express
